[10:44:19] System Started | HIDS | PID=N/A | Monitoring started.
[10:44:19] Suspicious Process Detected | python.exe | PID=48928 | Matched suspicious pattern: keylog
[11:13:40] Suspicious Process Detected | python.exe | PID=55116 | Unusual CPU usage: 86.1%
[11:13:42] Suspicious Process Detected | SearchIndexer.exe | PID=3160 | Unusual CPU usage: 104.2%
[11:13:45] Suspicious Process Detected | SearchIndexer.exe | PID=3160 | Unusual CPU usage: 104.0%
[11:13:48] Suspicious Process Detected | SearchIndexer.exe | PID=3160 | Unusual CPU usage: 88.2%
[11:15:24] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 100.6%
[11:15:39] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 96.8%
[11:15:42] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 102.1%
[11:15:45] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 113.4%
[11:15:51] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 98.3%
[11:15:54] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 99.7%
[11:15:57] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 105.5%
[11:16:03] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 99.3%
[11:16:06] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 191.0%
[11:16:09] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 199.4%
[11:16:12] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 193.3%
[11:16:15] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 159.6%
[11:16:21] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 101.3%
[11:16:24] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 101.0%
[11:16:30] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 102.5%
[11:16:33] Suspicious Process Detected | ntopng.exe | PID=5744 | Unusual CPU usage: 95.5%
[11:17:14] Suspicious Process Detected | python.exe | PID=47700 | Unusual CPU usage: 86.6%
[11:17:17] Suspicious Process Detected | python.exe | PID=47700 | Unusual CPU usage: 95.2%
